onset,terminus,vertex.id,onset.censored,terminus.censored,duration
26784,26975,11,FALSE,FALSE,191
26976,27167,12,FALSE,FALSE,191
27168,27359,10,FALSE,FALSE,191
27360,27551,9,FALSE,FALSE,191
27552,27743,10,FALSE,FALSE,191
27936,28319,11,FALSE,FALSE,383
28320,28607,11,FALSE,FALSE,287
28608,28655,10,FALSE,FALSE,47
28656,28703,9,FALSE,FALSE,47
28704,29087,10,FALSE,FALSE,383
29088,29279,11,FALSE,FALSE,191
29280,29567,10,FALSE,FALSE,287
29568,29759,13,FALSE,FALSE,191
29760,29903,12,FALSE,FALSE,143
29904,29951,11,FALSE,FALSE,47
29952,30143,11,FALSE,FALSE,191
30144,30239,10,FALSE,FALSE,95
30240,30335,11,FALSE,FALSE,95
30336,30431,8,FALSE,FALSE,95
30432,30527,10,FALSE,FALSE,95
30528,30623,7,FALSE,FALSE,95
30624,30815,6,FALSE,FALSE,191
30912,31007,10,FALSE,FALSE,95
31008,31103,8,FALSE,FALSE,95
31104,31199,6,FALSE,FALSE,95
31200,31295,7,FALSE,FALSE,95
31296,31487,11,FALSE,FALSE,191
31488,31583,8,FALSE,FALSE,95
31584,31679,10,FALSE,FALSE,95
31680,31871,11,FALSE,FALSE,191
31872,31967,13,FALSE,FALSE,95
31968,32159,12,FALSE,FALSE,191
32160,32351,11,FALSE,FALSE,191
32352,32543,10,FALSE,FALSE,191
32544,32735,9,FALSE,FALSE,191
32736,33023,10,FALSE,FALSE,287
33024,33167,11,FALSE,FALSE,143
33168,33215,10,FALSE,FALSE,47
33216,33311,7,FALSE,FALSE,95
33312,33407,5,FALSE,FALSE,95
33408,33503,10,FALSE,FALSE,95
33504,33599,11,FALSE,FALSE,95
33600,33791,13,FALSE,FALSE,191
33792,33887,12,FALSE,FALSE,95
33888,34079,13,FALSE,FALSE,191
34080,34271,12,FALSE,FALSE,191
34272,34463,11,FALSE,FALSE,191
34560,34751,10,FALSE,FALSE,191
34752,34847,11,FALSE,FALSE,95
34848,35039,9,FALSE,FALSE,191
35040,35231,10,FALSE,FALSE,191
35232,35327,11,FALSE,FALSE,95
35328,35471,13,FALSE,FALSE,143
35472,35519,12,FALSE,FALSE,47
35520,35615,10,FALSE,FALSE,95
35616,35807,11,FALSE,FALSE,191
35808,35903,12,FALSE,FALSE,95
35904,36191,10,FALSE,FALSE,287
36192,36287,12,FALSE,FALSE,95
36288,36383,13,FALSE,FALSE,95
36384,36575,14,FALSE,FALSE,191
36576,36671,13,FALSE,FALSE,95
36672,36815,12,FALSE,FALSE,143
36816,36863,10,FALSE,FALSE,47
36864,36959,11,FALSE,FALSE,95
36960,37151,12,FALSE,FALSE,191
37152,37343,11,FALSE,FALSE,191
37344,37535,10,FALSE,FALSE,191
37536,37727,9,FALSE,FALSE,191
37728,37823,10,FALSE,FALSE,95
37824,37871,5,FALSE,FALSE,47
37872,37919,6,FALSE,FALSE,47
37920,37967,7,FALSE,FALSE,47
37968,38015,8,FALSE,FALSE,47
38016,38399,10,FALSE,FALSE,383
38496,38591,5,FALSE,FALSE,95
38592,38687,4,FALSE,FALSE,95
38688,38783,2,FALSE,FALSE,95
38784,38879,1,FALSE,FALSE,95
38880,38975,2,FALSE,FALSE,95
38976,39167,10,FALSE,FALSE,191
39168,39263,9,FALSE,FALSE,95
39264,39647,10,FALSE,FALSE,383
