onset,terminus,vertex.id,onset.censored,terminus.censored,duration
0,47,11,FALSE,FALSE,47
48,95,11,FALSE,FALSE,47
96,143,12,FALSE,FALSE,47
144,191,11,FALSE,FALSE,47
192,239,11,FALSE,FALSE,47
239,430,4,FALSE,FALSE,191
431,622,2,FALSE,FALSE,191
623,814,3,FALSE,FALSE,191
815,1198,4,FALSE,FALSE,383
1199,1390,5,FALSE,FALSE,191
1391,1582,6,FALSE,FALSE,191
1583,1774,8,FALSE,FALSE,191
1775,1966,9,FALSE,FALSE,191
1967,2158,4,FALSE,FALSE,191
2159,2350,5,FALSE,FALSE,191
2351,2734,4,FALSE,FALSE,383
2735,3118,4,FALSE,FALSE,383
3119,3406,4,FALSE,FALSE,287
3407,3454,3,FALSE,FALSE,47
3455,3502,2,FALSE,FALSE,47
3503,3886,3,FALSE,FALSE,383
3887,4078,2,FALSE,FALSE,191
4079,4462,4,FALSE,FALSE,383
4559,4750,9,FALSE,FALSE,191
4751,4846,8,FALSE,FALSE,95
4847,5038,6,FALSE,FALSE,191
5039,5230,5,FALSE,FALSE,191
5327,5422,6,FALSE,FALSE,95
5423,5614,7,FALSE,FALSE,191
5615,5710,6,FALSE,FALSE,95
5711,5806,4,FALSE,FALSE,95
5807,5998,5,FALSE,FALSE,191
5999,6190,4,FALSE,FALSE,191
6191,6382,2,FALSE,FALSE,191
6383,6478,3,FALSE,FALSE,95
6479,6574,2,FALSE,FALSE,95
6575,6766,4,FALSE,FALSE,191
6767,6958,1,FALSE,FALSE,191
6959,7054,2,FALSE,FALSE,95
7055,7150,3,FALSE,FALSE,95
7151,7246,4,FALSE,FALSE,95
7247,7342,6,FALSE,FALSE,95
7343,7534,5,FALSE,FALSE,191
7535,8110,4,FALSE,FALSE,575
8879,9070,9,FALSE,FALSE,191
9071,9262,8,FALSE,FALSE,191
9263,9454,9,FALSE,FALSE,191
9455,9550,6,FALSE,FALSE,95
9551,9646,7,FALSE,FALSE,95
9647,9838,5,FALSE,FALSE,191
9839,10222,4,FALSE,FALSE,383
10415,10606,7,FALSE,FALSE,191
10607,10798,9,FALSE,FALSE,191
10799,11182,6,FALSE,FALSE,383
11183,11374,5,FALSE,FALSE,191
11471,11662,9,FALSE,FALSE,191
