onset,terminus,tail,head,onset.censored,terminus.censored,duration,edge.id
623,815,10,11,FALSE,FALSE,192,17
815,1007,11,9,FALSE,FALSE,192,35
1007,1103,9,7,FALSE,FALSE,96,15
1103,1295,7,3,FALSE,FALSE,192,10
1295,1487,3,11,FALSE,FALSE,192,9
1487,1583,11,9,FALSE,FALSE,96,35
1583,1775,9,10,FALSE,FALSE,192,42
1775,1967,10,11,FALSE,FALSE,192,17
1967,2159,11,12,FALSE,FALSE,192,23
2159,2351,12,10,FALSE,FALSE,192,1
2351,2543,10,9,FALSE,FALSE,192,22
2543,2735,9,10,FALSE,FALSE,192,42
2735,3311,10,11,FALSE,FALSE,576,17
3311,3599,11,11,FALSE,FALSE,288,8
3599,3647,11,10,FALSE,FALSE,48,11
3647,3695,10,9,FALSE,FALSE,48,22
3695,4079,9,10,FALSE,FALSE,384,42
4079,4271,10,11,FALSE,FALSE,192,17
4271,4559,11,10,FALSE,FALSE,288,11
4559,4751,10,13,FALSE,FALSE,192,26
4751,4895,13,12,FALSE,FALSE,144,45
4895,4943,12,11,FALSE,FALSE,48,7
4943,5135,11,11,FALSE,FALSE,192,8
5135,5231,11,10,FALSE,FALSE,96,11
5231,5327,10,11,FALSE,FALSE,96,17
5327,5423,11,8,FALSE,FALSE,96,2
5423,5519,8,10,FALSE,FALSE,96,21
5519,5615,10,7,FALSE,FALSE,96,14
5615,5807,7,6,FALSE,FALSE,192,24
5807,5999,6,10,FALSE,FALSE,192,41
5999,6095,10,8,FALSE,FALSE,96,34
6095,6191,8,6,FALSE,FALSE,96,37
6191,6287,6,7,FALSE,FALSE,96,12
6287,6479,7,11,FALSE,FALSE,192,32
6479,6575,11,8,FALSE,FALSE,96,2
6575,6671,8,10,FALSE,FALSE,96,21
6671,6863,10,11,FALSE,FALSE,192,17
6863,6959,11,13,FALSE,FALSE,96,5
6959,7151,13,12,FALSE,FALSE,192,45
7151,7343,12,11,FALSE,FALSE,192,7
7343,7535,11,10,FALSE,FALSE,192,11
7535,7727,10,9,FALSE,FALSE,192,22
7727,8015,9,10,FALSE,FALSE,288,42
8015,8159,10,11,FALSE,FALSE,144,17
8159,8207,11,10,FALSE,FALSE,48,11
8207,8303,10,7,FALSE,FALSE,96,14
8303,8399,7,5,FALSE,FALSE,96,39
8399,8495,5,10,FALSE,FALSE,96,13
8495,8591,10,11,FALSE,FALSE,96,17
8591,8783,11,13,FALSE,FALSE,192,5
8783,8879,13,12,FALSE,FALSE,96,45
8879,9071,12,13,FALSE,FALSE,192,44
9071,9263,13,12,FALSE,FALSE,192,45
9263,9455,12,11,FALSE,FALSE,192,7
9455,9743,11,10,FALSE,FALSE,288,11
9743,9839,10,11,FALSE,FALSE,96,17
9839,10031,11,9,FALSE,FALSE,192,35
10031,10223,9,10,FALSE,FALSE,192,42
10223,10319,10,11,FALSE,FALSE,96,17
10319,10463,11,13,FALSE,FALSE,144,5
10463,10511,13,12,FALSE,FALSE,48,45
10511,10607,12,10,FALSE,FALSE,96,1
10607,10799,10,11,FALSE,FALSE,192,17
10799,10895,11,12,FALSE,FALSE,96,23
10895,11183,12,10,FALSE,FALSE,288,1
11183,11279,10,12,FALSE,FALSE,96,38
11279,11375,12,13,FALSE,FALSE,96,44
11375,11567,13,14,FALSE,FALSE,192,36
11567,11663,14,13,FALSE,FALSE,96,40
11663,11807,13,12,FALSE,FALSE,144,45
11807,11855,12,10,FALSE,FALSE,48,1
11855,11951,10,11,FALSE,FALSE,96,17
11951,12143,11,12,FALSE,FALSE,192,23
12143,12335,12,11,FALSE,FALSE,192,7
12335,12527,11,10,FALSE,FALSE,192,11
12527,12719,10,9,FALSE,FALSE,192,22
12719,12815,9,10,FALSE,FALSE,96,42
12815,12863,10,5,FALSE,FALSE,48,3
12863,12911,5,6,FALSE,FALSE,48,4
12911,12959,6,7,FALSE,FALSE,48,12
12959,13007,7,8,FALSE,FALSE,48,29
