onset,terminus,tail,head,onset.censored,terminus.censored,duration,edge.id
47,95,11,11,FALSE,FALSE,48,21
95,143,11,12,FALSE,FALSE,48,36
143,191,12,11,FALSE,FALSE,48,40
191,239,11,11,FALSE,FALSE,48,21
239,430,11,4,FALSE,FALSE,191,35
430,622,4,2,FALSE,FALSE,192,37
622,814,2,3,FALSE,FALSE,192,27
814,1198,3,4,FALSE,FALSE,384,48
1198,1390,4,5,FALSE,FALSE,192,3
1390,1582,5,6,FALSE,FALSE,192,13
1582,1774,6,8,FALSE,FALSE,192,9
1774,1966,8,9,FALSE,FALSE,192,43
1966,2158,9,4,FALSE,FALSE,192,4
2158,2350,4,5,FALSE,FALSE,192,3
2350,2734,5,4,FALSE,FALSE,384,23
2734,3118,4,4,FALSE,FALSE,384,10
3118,3406,4,4,FALSE,FALSE,288,10
3406,3454,4,3,FALSE,FALSE,48,17
3454,3502,3,2,FALSE,FALSE,48,11
3502,3886,2,3,FALSE,FALSE,384,27
3886,4078,3,2,FALSE,FALSE,192,11
4078,4462,2,4,FALSE,FALSE,384,49
4462,4750,4,9,FALSE,FALSE,288,14
4750,4846,9,8,FALSE,FALSE,96,25
4846,5038,8,6,FALSE,FALSE,192,16
5038,5230,6,5,FALSE,FALSE,192,26
5230,5422,5,6,FALSE,FALSE,192,13
5422,5614,6,7,FALSE,FALSE,192,29
5614,5710,7,6,FALSE,FALSE,96,22
5710,5806,6,4,FALSE,FALSE,96,41
5806,5998,4,5,FALSE,FALSE,192,3
5998,6190,5,4,FALSE,FALSE,192,23
6190,6382,4,2,FALSE,FALSE,192,37
6382,6478,2,3,FALSE,FALSE,96,27
6478,6574,3,2,FALSE,FALSE,96,11
6574,6766,2,4,FALSE,FALSE,192,49
6766,6958,4,1,FALSE,FALSE,192,8
6958,7054,1,2,FALSE,FALSE,96,6
7054,7150,2,3,FALSE,FALSE,96,27
7150,7246,3,4,FALSE,FALSE,96,48
7246,7342,4,6,FALSE,FALSE,96,15
7342,7534,6,5,FALSE,FALSE,192,26
7534,8110,5,4,FALSE,FALSE,576,23
8110,9070,4,9,FALSE,FALSE,960,14
9070,9262,9,8,FALSE,FALSE,192,25
9262,9454,8,9,FALSE,FALSE,192,43
9454,9550,9,6,FALSE,FALSE,96,18
9550,9646,6,7,FALSE,FALSE,96,29
9646,9838,7,5,FALSE,FALSE,192,38
9838,10222,5,4,FALSE,FALSE,384,23
10222,10606,4,7,FALSE,FALSE,384,44
10606,10798,7,9,FALSE,FALSE,192,24
10798,11182,9,6,FALSE,FALSE,384,18
11182,11374,6,5,FALSE,FALSE,192,26
11374,11662,5,9,FALSE,FALSE,288,42
11662,11758,9,8,FALSE,FALSE,96,25
11758,11950,8,9,FALSE,FALSE,192,43
11950,12046,9,10,FALSE,FALSE,96,19
12046,12142,10,7,FALSE,FALSE,96,1
12142,12238,7,9,FALSE,FALSE,96,24
12238,12334,9,6,FALSE,FALSE,96,18
12334,12526,6,5,FALSE,FALSE,192,26
12526,12670,5,4,FALSE,FALSE,144,23
12670,12718,4,3,FALSE,FALSE,48,17
12718,12814,3,2,FALSE,FALSE,96,11
12814,12910,2,3,FALSE,FALSE,96,27
12910,13102,3,1,FALSE,FALSE,192,7
13102,13198,1,4,FALSE,FALSE,96,30
13198,13294,4,5,FALSE,FALSE,96,3
13294,13390,5,6,FALSE,FALSE,96,13
13390,13486,6,8,FALSE,FALSE,96,9
13486,13582,8,9,FALSE,FALSE,96,43
13582,13678,9,4,FALSE,FALSE,96,4
13678,13774,4,3,FALSE,FALSE,96,17
13774,13870,3,4,FALSE,FALSE,96,48
13870,14062,4,5,FALSE,FALSE,192,3
14062,14446,5,4,FALSE,FALSE,384,23
14446,14493,4,11,FALSE,FALSE,47,31
14493,14541,11,12,FALSE,FALSE,48,36
14541,14589,12,13,FALSE,FALSE,48,47
14589,14637,13,13,FALSE,FALSE,48,20
14637,14685,13,13,FALSE,FALSE,48,20
14685,14733,13,13,FALSE,FALSE,48,20
14733,14781,13,13,FALSE,FALSE,48,20
14781,14829,13,13,FALSE,FALSE,48,20
14829,14877,13,13,FALSE,FALSE,48,20
14877,14925,13,12,FALSE,FALSE,48,32
14925,14973,12,12,FALSE,FALSE,48,5
14973,15021,12,13,FALSE,FALSE,48,47
15021,15212,13,4,FALSE,FALSE,191,34
15212,15404,4,7,FALSE,FALSE,192,44
15404,15596,7,6,FALSE,FALSE,192,22
15596,15788,6,9,FALSE,FALSE,192,46
15788,15980,9,9,FALSE,FALSE,192,45
15980,16364,9,9,FALSE,FALSE,384,45
16364,16556,9,4,FALSE,FALSE,192,4
16556,16748,4,4,FALSE,FALSE,192,10
16748,16892,4,6,FALSE,FALSE,144,15
16892,16940,6,8,FALSE,FALSE,48,9
16940,17132,8,9,FALSE,FALSE,192,43
17132,17276,9,9,FALSE,FALSE,144,45
17276,17324,9,8,FALSE,FALSE,48,25
17324,17420,8,9,FALSE,FALSE,96,43
17420,17516,9,10,FALSE,FALSE,96,19
17516,17708,10,6,FALSE,FALSE,192,28
17708,17900,6,7,FALSE,FALSE,192,29
17900,18284,7,6,FALSE,FALSE,384,22
18284,18860,6,2,FALSE,FALSE,576,12
18860,19052,2,1,FALSE,FALSE,192,39
19052,19244,1,4,FALSE,FALSE,192,30
19244,19436,4,4,FALSE,FALSE,192,10
19436,19628,4,4,FALSE,FALSE,192,10
19628,19820,4,4,FALSE,FALSE,192,10
19820,20012,4,4,FALSE,FALSE,192,10
20012,20300,4,9,FALSE,FALSE,288,14
20300,20396,9,7,FALSE,FALSE,96,33
20396,20588,7,5,FALSE,FALSE,192,38
20588,20780,5,4,FALSE,FALSE,192,23
20780,20972,4,3,FALSE,FALSE,192,17
20972,21068,3,4,FALSE,FALSE,96,48
21068,21164,4,6,FALSE,FALSE,96,15
21164,21356,6,5,FALSE,FALSE,192,26
21356,21548,5,4,FALSE,FALSE,192,23
21548,22124,4,2,FALSE,FALSE,576,37
22124,22316,2,2,FALSE,FALSE,192,2
22316,22508,2,2,FALSE,FALSE,192,2
22508,22700,2,1,FALSE,FALSE,192,39
22700,22988,1,2,FALSE,FALSE,288,6
22988,23132,2,4,FALSE,FALSE,144,49
23132,23180,4,5,FALSE,FALSE,48,3
23180,23276,5,6,FALSE,FALSE,96,13
23276,23372,6,7,FALSE,FALSE,96,29
23372,23468,7,6,FALSE,FALSE,96,22
23468,23660,6,4,FALSE,FALSE,192,41
23660,23852,4,5,FALSE,FALSE,192,3
23852,24236,5,4,FALSE,FALSE,384,23
24236,24283,4,11,FALSE,FALSE,47,31
24283,24331,11,11,FALSE,FALSE,48,21
24331,24379,11,12,FALSE,FALSE,48,36
24379,24427,12,11,FALSE,FALSE,48,40
24427,24475,11,11,FALSE,FALSE,48,21
24475,24666,11,4,FALSE,FALSE,191,35
24666,24858,4,2,FALSE,FALSE,192,37
24858,25050,2,3,FALSE,FALSE,192,27
25050,25434,3,4,FALSE,FALSE,384,48
25434,25626,4,5,FALSE,FALSE,192,3
25626,25818,5,6,FALSE,FALSE,192,13
25818,26010,6,8,FALSE,FALSE,192,9
26010,26202,8,9,FALSE,FALSE,192,43
26202,26394,9,4,FALSE,FALSE,192,4
26394,26586,4,5,FALSE,FALSE,192,3
26586,26970,5,4,FALSE,FALSE,384,23
26970,27354,4,4,FALSE,FALSE,384,10
27354,27642,4,4,FALSE,FALSE,288,10
27642,27690,4,3,FALSE,FALSE,48,17
27690,27738,3,2,FALSE,FALSE,48,11
27738,28122,2,3,FALSE,FALSE,384,27
28122,28314,3,2,FALSE,FALSE,192,11
28314,28698,2,4,FALSE,FALSE,384,49
28698,28986,4,9,FALSE,FALSE,288,14
28986,29082,9,8,FALSE,FALSE,96,25
29082,29274,8,6,FALSE,FALSE,192,16
29274,29466,6,5,FALSE,FALSE,192,26
29466,29658,5,6,FALSE,FALSE,192,13
29658,29850,6,7,FALSE,FALSE,192,29
29850,29946,7,6,FALSE,FALSE,96,22
29946,30042,6,4,FALSE,FALSE,96,41
30042,30234,4,5,FALSE,FALSE,192,3
30234,30426,5,4,FALSE,FALSE,192,23
30426,30618,4,2,FALSE,FALSE,192,37
30618,30714,2,3,FALSE,FALSE,96,27
30714,30810,3,2,FALSE,FALSE,96,11
30810,31002,2,4,FALSE,FALSE,192,49
31002,31194,4,1,FALSE,FALSE,192,8
31194,31290,1,2,FALSE,FALSE,96,6
31290,31386,2,3,FALSE,FALSE,96,27
31386,31482,3,4,FALSE,FALSE,96,48
31482,31578,4,6,FALSE,FALSE,96,15
31578,31770,6,5,FALSE,FALSE,192,26
31770,32346,5,4,FALSE,FALSE,576,23
32346,33306,4,9,FALSE,FALSE,960,14
33306,33498,9,8,FALSE,FALSE,192,25
33498,33690,8,9,FALSE,FALSE,192,43
33690,33786,9,6,FALSE,FALSE,96,18
33786,33882,6,7,FALSE,FALSE,96,29
33882,34074,7,5,FALSE,FALSE,192,38
34074,34458,5,4,FALSE,FALSE,384,23
34458,34842,4,7,FALSE,FALSE,384,44
34842,35034,7,9,FALSE,FALSE,192,24
35034,35418,9,6,FALSE,FALSE,384,18
35418,35610,6,5,FALSE,FALSE,192,26
35610,35898,5,9,FALSE,FALSE,288,42
35898,35994,9,8,FALSE,FALSE,96,25
35994,36186,8,9,FALSE,FALSE,192,43
36186,36282,9,10,FALSE,FALSE,96,19
36282,36378,10,7,FALSE,FALSE,96,1
36378,36474,7,9,FALSE,FALSE,96,24
36474,36570,9,6,FALSE,FALSE,96,18
36570,36762,6,5,FALSE,FALSE,192,26
36762,36906,5,4,FALSE,FALSE,144,23
36906,36954,4,3,FALSE,FALSE,48,17
36954,37050,3,2,FALSE,FALSE,96,11
37050,37146,2,3,FALSE,FALSE,96,27
37146,37338,3,1,FALSE,FALSE,192,7
37338,37434,1,4,FALSE,FALSE,96,30
37434,37530,4,5,FALSE,FALSE,96,3
37530,37626,5,6,FALSE,FALSE,96,13
37626,37722,6,8,FALSE,FALSE,96,9
37722,37818,8,9,FALSE,FALSE,96,43
37818,37914,9,4,FALSE,FALSE,96,4
37914,38010,4,3,FALSE,FALSE,96,17
38010,38106,3,4,FALSE,FALSE,96,48
38106,38298,4,5,FALSE,FALSE,192,3
38298,38682,5,4,FALSE,FALSE,384,23
