onset,terminus,vertex.id,onset.censored,terminus.censored,duration
432,815,4,FALSE,FALSE,383
816,1007,5,FALSE,FALSE,191
1008,1199,6,FALSE,FALSE,191
1200,1391,6,FALSE,FALSE,191
1392,1487,5,FALSE,FALSE,95
1488,1583,3,FALSE,FALSE,95
1584,1775,4,FALSE,FALSE,191
1776,2063,5,FALSE,FALSE,287
2064,2207,6,FALSE,FALSE,143
2208,2255,4,FALSE,FALSE,47
2256,2447,4,FALSE,FALSE,191
2448,2543,3,FALSE,FALSE,95
2544,2735,4,FALSE,FALSE,191
2928,3311,6,FALSE,FALSE,383
3312,3599,6,FALSE,FALSE,287
3600,3647,5,FALSE,FALSE,47
3648,3695,4,FALSE,FALSE,47
3696,4079,5,FALSE,FALSE,383
4080,4271,6,FALSE,FALSE,191
4272,4463,6,FALSE,FALSE,191
4464,4655,9,FALSE,FALSE,191
4656,4847,6,FALSE,FALSE,191
4848,5039,5,FALSE,FALSE,191
5136,5231,6,FALSE,FALSE,95
5232,5423,7,FALSE,FALSE,191
5424,5519,6,FALSE,FALSE,95
5520,5615,4,FALSE,FALSE,95
5616,5807,5,FALSE,FALSE,191
5808,5903,4,FALSE,FALSE,95
5904,6047,4,FALSE,FALSE,143
6048,6095,2,FALSE,FALSE,47
6096,6191,3,FALSE,FALSE,95
6288,6479,4,FALSE,FALSE,191
6480,6575,4,FALSE,FALSE,95
6576,6671,5,FALSE,FALSE,95
6672,7055,6,FALSE,FALSE,383
7056,7151,5,FALSE,FALSE,95
7152,7247,4,FALSE,FALSE,95
7248,7391,5,FALSE,FALSE,143
7392,7439,4,FALSE,FALSE,47
7440,7631,4,FALSE,FALSE,191
7632,7727,3,FALSE,FALSE,95
7728,7919,4,FALSE,FALSE,191
8112,8303,6,FALSE,FALSE,191
8304,8591,6,FALSE,FALSE,287
8592,8639,5,FALSE,FALSE,47
8640,8687,4,FALSE,FALSE,47
8688,8879,5,FALSE,FALSE,191
8880,9071,4,FALSE,FALSE,191
9168,9359,6,FALSE,FALSE,191
9360,9551,5,FALSE,FALSE,191
9552,9743,6,FALSE,FALSE,191
9744,9887,4,FALSE,FALSE,143
9888,9935,2,FALSE,FALSE,47
9936,10031,3,FALSE,FALSE,95
10032,10223,4,FALSE,FALSE,191
10416,10607,6,FALSE,FALSE,191
10608,10799,5,FALSE,FALSE,191
10800,10991,6,FALSE,FALSE,191
10992,11183,6,FALSE,FALSE,191
11184,11375,9,FALSE,FALSE,191
11376,11471,8,FALSE,FALSE,95
11472,11567,5,FALSE,FALSE,95
11568,11759,6,FALSE,FALSE,191
11760,11951,5,FALSE,FALSE,191
12048,12143,6,FALSE,FALSE,95
12144,12287,7,FALSE,FALSE,143
12288,12335,6,FALSE,FALSE,47
12336,12383,5,FALSE,FALSE,47
12384,12431,4,FALSE,FALSE,47
12432,12623,4,FALSE,FALSE,191
12624,12719,3,FALSE,FALSE,95
12816,13007,4,FALSE,FALSE,191
13008,13199,5,FALSE,FALSE,191
13200,13391,6,FALSE,FALSE,191
13392,13487,5,FALSE,FALSE,95
13488,13583,4,FALSE,FALSE,95
13584,13727,5,FALSE,FALSE,143
13728,13775,4,FALSE,FALSE,47
13776,13871,2,FALSE,FALSE,95
13872,13967,1,FALSE,FALSE,95
13968,14159,4,FALSE,FALSE,191
14160,14255,3,FALSE,FALSE,95
14256,14639,4,FALSE,FALSE,383
15600,15791,4,FALSE,FALSE,191
15792,15983,5,FALSE,FALSE,191
15984,16175,6,FALSE,FALSE,191
16176,16367,6,FALSE,FALSE,191
16368,16559,6,FALSE,FALSE,191
16560,16943,6,FALSE,FALSE,383
16944,17135,6,FALSE,FALSE,191
17136,17327,6,FALSE,FALSE,191
17328,17519,6,FALSE,FALSE,191
17520,17711,6,FALSE,FALSE,191
17712,17855,6,FALSE,FALSE,143
17856,17903,5,FALSE,FALSE,47
17904,17999,6,FALSE,FALSE,95
18000,18191,7,FALSE,FALSE,191
18192,18383,6,FALSE,FALSE,191
18384,18479,5,FALSE,FALSE,95
18480,18863,6,FALSE,FALSE,383
19056,19439,4,FALSE,FALSE,383
19440,19631,5,FALSE,FALSE,191
19632,19823,6,FALSE,FALSE,191
19824,20015,6,FALSE,FALSE,191
20016,20207,6,FALSE,FALSE,191
20208,20399,6,FALSE,FALSE,191
20400,20591,6,FALSE,FALSE,191
20592,20879,6,FALSE,FALSE,287
20880,20975,5,FALSE,FALSE,95
20976,21167,7,FALSE,FALSE,191
21168,21359,6,FALSE,FALSE,191
21360,21551,5,FALSE,FALSE,191
21552,21647,4,FALSE,FALSE,95
21648,21839,4,FALSE,FALSE,191
21840,21935,3,FALSE,FALSE,95
21936,22127,4,FALSE,FALSE,191
22320,22703,4,FALSE,FALSE,383
22704,22895,4,FALSE,FALSE,191
22896,23087,4,FALSE,FALSE,191
23088,23279,5,FALSE,FALSE,191
23280,23471,4,FALSE,FALSE,191
23472,23663,2,FALSE,FALSE,191
23664,23855,4,FALSE,FALSE,191
23856,23951,5,FALSE,FALSE,95
23952,24143,6,FALSE,FALSE,191
24144,24335,4,FALSE,FALSE,191
24336,24431,3,FALSE,FALSE,95
24432,24815,4,FALSE,FALSE,383
25440,25823,4,FALSE,FALSE,383
25824,26015,5,FALSE,FALSE,191
26016,26207,6,FALSE,FALSE,191
26208,26399,6,FALSE,FALSE,191
26400,26495,5,FALSE,FALSE,95
26496,26591,3,FALSE,FALSE,95
26592,26783,4,FALSE,FALSE,191
26784,27071,5,FALSE,FALSE,287
27072,27215,6,FALSE,FALSE,143
27216,27263,4,FALSE,FALSE,47
27264,27455,4,FALSE,FALSE,191
27456,27551,3,FALSE,FALSE,95
27552,27743,4,FALSE,FALSE,191
27936,28319,6,FALSE,FALSE,383
28320,28607,6,FALSE,FALSE,287
28608,28655,5,FALSE,FALSE,47
28656,28703,4,FALSE,FALSE,47
28704,29087,5,FALSE,FALSE,383
29088,29279,6,FALSE,FALSE,191
29280,29471,6,FALSE,FALSE,191
29472,29663,9,FALSE,FALSE,191
29664,29855,6,FALSE,FALSE,191
29856,30047,5,FALSE,FALSE,191
30144,30239,6,FALSE,FALSE,95
30240,30431,7,FALSE,FALSE,191
30432,30527,6,FALSE,FALSE,95
